Figure.Number	Title	Page	Data.Availability	Source.of.Data	Software.Used.Source.of.Figure
1.1	Similar Pie Wedges	2	Read off figure 1.3		S-Plus: inspired by Cleveland (1985)
1.2	Similar Pie Wedges: Dot Plot	4	Read off figure 1.3		S-Plus: inspired by Cleveland (1985)
1.3	Similar Pie Wedges: Table	8	Read off figure 1.3		Word
2.1	Structured Data Set	12	Read off figure 2.2 description		S-Plus: inspired by Cleveland (1994)
2.2	Structured Data Set: Dot Plot	14	Read off figure 2.2 description		S-Plus: inspired by Cleveland (1994)
2.3	Three-Dimensional Pie Data	18	Read off figure 2.4		Excel
2.4	Three-Dimensional Pie Data: Two-Dimensional Bar Chart	20	Read off figure 2.4		Excel
2.5	Three-Dimensional Pie Data: Two-Dimensional Pie Chart	22	Read off figure 2.4		Excel
2.6	Three-Dimensional Bar Data	22	Read off figure 2.7		Excel
2.7	Three-Dimensional Bar Data: Two-Dimensional Bar Chart	24	Read off figure 2.7		Excel
2.8	Three-Dimensional Bar Data: Excel	24	Read off figure 2.7		Excel
2.9	Three-Dimensional Bar Data: PowerPoint	26	Read off figure 2.7		Powerpoint
2.10	Three-Dimensional Bar Data: Presentations and Charts	26	Read off figure 2.7		Presentations & Charts
2.11	Energy Data	28	Estimate from figure 2.13	U.S. Dept. Energy (1986)	S-Plus
2.12	Energy Data: All Other OECD	30	Estimate from figure 2.12	U.S. Dept. Energy (1986)	Excel
2.13	Energy Data: Grouped Bar Chart	32	Estimate from figure 2.13	U.S. Dept. Energy (1986)	Excel
2.14	Playfair's Balance-of-Trade Data	34	Online source ; http://web.mit.edu/ikari/Desktop/ikari/MacData/afs.ikari/MacData/afs/athena/astaff/project/Sdev/OldFiles/src/data/EXAMPLES	S-Plus 6 for Windows Users Guide. Copyright 2003 Insightful Corporation, Seattle, WA.	S-Plus from Cleveland (1994)
2.15	Playfair's Balance-of-Trade Data: Imports Minus Export	36	Online source ; http://web.mit.edu/ikari/Desktop/ikari/MacData/afs.ikari/MacData/afs/athena/astaff/project/Sdev/OldFiles/src/data/EXAMPLES	S-Plus Data Set	S-Plus; from Cleveland (1994)
2.16	Difference between Curves	38	Estimate from figure 2.16		S-Plus
2.17	Ownership of Government Securities	40	Not found ; Government Securities data	Board of Governors of the Federal Reserve System (U.S.) (1989): Historical Chart Book, Washington, DC.	
2.18	Playfair's Population of Cities	42	Online source ; http://pi-sigma.info/Downloads.htm (EDA Toolbox)	S-Plus Data Set	S-Plus: from Cleveland (1993)
2.19	Population of Cities: Dot Plot	44	Online source ; http://pi-sigma.info/Downloads.htm (EDA Toolbox)	S-Plus Data Set	S-Plus: from Cleveland (1993)
3.1	Angle Judgments	48	Estimate from figure 3.1		S-Plus
3.2	Area and Volume Judgments	50	Estimate from figure 3.2		S-Plus
3.3	Color Hue, Saturation, and Density	52	Random numbers	Random numbers	S-Plus
3.4	Length Judgments	54	Read off figure 3.4 description		S-Plus
3.5	Position along a Common Scale	56	Read off figure 1.3		S-Plus
3.6	Position along Identical, Nonaligned Scales	58	Estimate from figure 3.5		S-Plus
3.7	Slope Judgments	60	Estimate from figure 3.7		S-Plus
3.8	Detection	62	Random numbers	Random numbers	S-Plus
4.1	State Areas: Strip Plot	66	R data set ; state.name, state.area	S-Plus Data Set	Linda Clark using S-Plus
4.2	State Areas: Dot Plot	68	R data set ; state.name, state.area	S-Plus Data Set	S-Plus
4.3	State Areas: Ordered by Size	70	R data set ; state.name, state.area	S-Plus Data Set	S-Plus
4.4	State Areas Logarithm with Base 2	72	R data set ; state.name, state.area	S-Plus Data Set	S-Plus
4.5	State Areas: Top Axis Labeled with Original Scale	74	R data set ; state.name, state.area	S-Plus Data Set	S-Plus
4.6	Families Exhibition: Histogram	76	Read off figure 4.6	Beverly Serrell	S-Plus
4.7	Avoid Misleading Histograms	78	Read off figure 4.7		S-Plus
4.8	Judith Leyster Exhibition: Strip Plot	80	Read off figure 4.8 description	Beverly Serrell	S-Plus
4.9	Judith Leyster: Jittered Strip Plot	82	Read off figure 4.8 description	Beverly Serrell	S-Plus
4.10	Museum Exhibitions: Jittering	84	Not found ; Museum Exhibitions data	Beverly Serrell	S-Plus
4.11	Museum Exhibitions: Box Plot	88	Not found ; Museum Exhibitions data	Beverly Serrell	S-Plus
4.12	Description of Box Plot	90	Estimate from figure 4.12	Cleveland (1993)	S-Plus; from Cleveland (1993)
4.13	Museum Exhibitions: Styles of Box Plots	92	Not found ; Museum Exhibitions data	Beverly Serrell	S-Plus
4.14	Paying Attention Data: Scatterplot	94	Not found ; Paying Attention data	Beverly Serrell	S-Plus
4.15	Paying Attention Data: Regression Line	96	Not found ; Paying Attention data	Serrell (1998)	S-Plus
4.16	Paying Attention Data: Loess Fit	98	Not found ; Paying Attention data	Serrell (1998)	S-Plus
4.17	Visitors at St. Louis Science Center	100	Estimate from figure 4.17	St. Louis Science Center	S-Plus
4.18	SLSC Visitors: Month Plot	102	Not found ; SLSC Visitors data	St. Louis Science Center	R
4.19	Carbon Dioxide Data	104	R data set ; co2	S-Plus Data Set	S-Plus; from Cleveland (1994)
4.20	Carbon Dioxide Data: Month Plot	106	R data set ; co2	S-Plus Data Set	S-Plus
4.21	Used Car Price: Line Graph	108	Estimate from figure 4.21	http://www.kbb.com/	Excel
4.22	Mountain Height Data: Line Graph	108	Online source ; wikipedia	Sutcliffe (1996)	Excel
4.23	Mountain Height Data by Mountain	110	Online source ; wikipedia	Sutcliffe (1996)	Excel
4.24	Mountain Height Data by Continent	110	Online source ; wikipedia	Sutcliffe (1996)	Excel
5.1	Energy Data: Stacked Bar Chart	114	Estimate from figure 2.13	U.S. Dept. Energy (1986)	S-Plus
5.2	Energy Data: Labeled Scatterplot	116	Estimate from figure 2.13	U.S. Dept. Energy (1986)	S-Plus
5.3	Energy Data: Trellis Display	118	Estimate from figure 2.13	U.S. Dept. Energy (1986)	 S-Plus
5.4	Barley Data	120	Splus data set ; barley	S-Plus Data Set	S-Plus; from Cleveland (1994)
5.5	Barley Data: Bar Chart	124	Splus data set ; barley	S-Plus Data Set	S-Plus
5.6	Energy Data: Scatterplot Matrix	126	Estimate from figure 2.13	U.S. Dept. Energy (1986)	R
5.7	Reading a Scatterplot	128	Estimate from figure 2.13	U.S. Dept. Matrix Energy (1986)	R
5.8	Monterey Bay Aquarium Data: Mosaic Plot Preliminaries	130	Estimate from figure 5.8	Monterey Bay Aquarium	S-Plus with http://www.statyale.edut-jay/JCGS/mosaic.code
5.9	MBA Data: Another Variable Added	132	Not found ; Monterey Bay Aquarium data	Monterey Bay Aquarium	S-Plus with http://www.stat.yale.edu/~jay/JCGS/mosaic.code
5.10	MBA Data: Mosaic Plot	134	Not found ; Monterey Bay Aquarium data	Monterey Bay Aquarium	S-Plus with http://www.stat.yale.edu/~jay/JCGS/mosaic.code
5.11	Soybean Data: Linked Micromaps	136	Online source ; http://www.agcensus.usda.gov/Publications/1997/Rankings_of_State_and_Counties/tbl61.pdf	http://www.nass.usda.gov/research/gmsoyyap.htm	
5.12	Iris Data: Parallel Coordinate Plots	140	R data set ; iris	S-Plus Data Set	S-Plus
5.13	Reading a Parallel Coordinates Plot	142	Read off figure 5.13 decription		S-Plus
5.14	Nightingale Data	144	Online source ; http://understandinguncertainty.org/node/214	http://www.uh.edu/engines/epi1712.htm	
