Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1948	3.4	3.8	4	3.9	3.5	3.6	3.6	3.9	3.8	3.7	3.8	4
1949	4.3	4.7	5	5.3	6.1	6.2	6.7	6.8	6.6	7.9	6.4	6.6
1950	6.5	6.4	6.3	5.8	5.5	5.4	5	4.5	4.4	4.2	4.2	4.3
1951	3.7	3.4	3.4	3.1	3	3.2	3.1	3.1	3.3	3.5	3.5	3.1
1952	3.2	3.1	2.9	2.9	3	3	3.2	3.4	3.1	3	2.8	2.7
1953	2.9	2.6	2.6	2.7	2.5	2.5	2.6	2.7	2.9	3.1	3.5	4.5
1954	4.9	5.2	5.7	5.9	5.9	5.6	5.8	6	6.1	5.7	5.3	5
1955	4.9	4.7	4.6	4.7	4.3	4.2	4	4.2	4.1	4.3	4.2	4.2
1956	4	3.9	4.2	4	4.3	4.3	4.4	4.1	3.9	3.9	4.3	4.2
1957	4.2	3.9	3.7	3.9	4.1	4.3	4.2	4.1	4.4	4.5	5.1	5.2
1958	5.8	6.4	6.7	7.4	7.4	7.3	7.5	7.4	7.1	6.7	6.2	6.2
1959	6	5.9	5.6	5.2	5.1	5	5.1	5.2	5.5	5.7	5.8	5.3
1960	5.2	4.8	5.4	5.2	5.1	5.4	5.5	5.6	5.5	6.1	6.1	6.6
1961	6.6	6.9	6.9	7	7.1	6.9	7	6.6	6.7	6.5	6.1	6
1962	5.8	5.5	5.6	5.6	5.5	5.5	5.4	5.7	5.6	5.4	5.7	5.5
1963	5.7	5.9	5.7	5.7	5.9	5.6	5.6	5.4	5.5	5.5	5.7	5.5
1964	5.6	5.4	5.4	5.3	5.1	5.2	4.9	5	5.1	5.1	4.8	5
1965	4.9	5.1	4.7	4.8	4.6	4.6	4.4	4.4	4.3	4.2	4.1	4
1966	4	3.8	3.8	3.8	3.9	3.8	3.8	3.8	3.7	3.7	3.6	3.8
1967	3.9	3.8	3.8	3.8	3.8	3.9	3.8	3.8	3.8	4	3.9	3.8
1968	3.7	3.8	3.7	3.5	3.5	3.7	3.7	3.5	3.4	3.4	3.4	3.4
1969	3.4	3.4	3.4	3.4	3.4	3.5	3.5	3.5	3.7	3.7	3.5	3.5
1970	3.9	4.2	4.4	4.6	4.8	4.9	5	5.1	5.4	5.5	5.9	6.1
1971	5.9	5.9	6	5.9	5.9	5.9	6	6.1	6	5.8	6	6
1972	5.8	5.7	5.8	5.7	5.7	5.7	5.6	5.6	5.5	5.6	5.3	5.2
1973	4.9	5	4.9	5	4.9	4.9	4.8	4.8	4.8	4.6	4.8	4.9
1974	5.1	5.2	5.1	5.1	5.1	5.4	5.5	5.5	5.9	6	6.6	7.2
1975	8.1	8.1	8.6	8.8	9	8.8	8.6	8.4	8.4	8.4	8.3	8.2
1976	7.9	7.7	7.6	7.7	7.4	7.6	7.8	7.8	7.6	7.7	7.8	7.8
1977	7.5	7.6	7.4	7.2	7	7.2	6.9	7	6.8	6.8	6.8	6.4
1978	6.4	6.3	6.3	6.1	6	5.9	6.2	5.9	6	5.8	5.9	6
1979	5.9	5.9	5.8	5.8	5.6	5.7	5.7	6	5.9	6	5.9	6
1980	6.3	6.3	6.3	6.9	7.5	7.6	7.8	7.7	7.5	7.5	7.5	7.2
1981	7.5	7.4	7.4	7.2	7.5	7.5	7.2	7.4	7.6	7.9	8.3	8.5
1982	8.6	8.9	9	9.3	9.4	9.6	9.8	9.8	10.1	10.4	10.8	10.8
1983	10.4	10.4	10.3	10.2	10.1	10.1	9.4	9.5	9.2	8.8	8.5	8.3
1984	8	7.8	7.8	7.7	7.4	7.2	7.5	7.5	7.3	7.4	7.2	7.3
1985	7.3	7.2	7.2	7.3	7.2	7.4	7.4	7.1	7.1	7.1	7	7
1986	6.7	7.2	7.2	7.1	7.2	7.2	7	6.9	7	7	6.9	6.6
1987	6.6	6.6	6.6	6.3	6.3	6.2	6.1	6	5.9	6	5.8	5.7
1988	5.7	5.7	5.7	5.4	5.6	5.4	5.4	5.6	5.4	5.4	5.3	5.3
1989	5.4	5.2	5	5.2	5.2	5.3	5.2	5.2	5.3	5.3	5.4	5.4
1990	5.4	5.3	5.2	5.4	5.4	5.2	5.5	5.7	5.9	5.9	6.2	6.3
1991	6.4	6.6	6.8	6.7	6.9	6.9	6.8	6.9	6.9	7	7	7.3
1992	7.3	7.4	7.4	7.4	7.6	7.8	7.7	7.6	7.6	7.3	7.4	7.4
1993	7.3	7.1	7	7.1	7.1	7	6.9	6.8	6.7	6.8	6.6	6.5
1994	6.6	6.6	6.5	6.4	6.1	6.1	6.1	6	5.9	5.8	5.6	5.5
1995	5.6	5.4	5.4	5.8	5.6	5.6	5.7	5.7	5.6	5.5	5.6	5.6
1996	5.6	5.5	5.5	5.6	5.6	5.3	5.5	5.1	5.2	5.2	5.4	5.4
1997	5.3	5.2	5.2	5.1	4.9	5	4.9	4.8	4.9	4.7	4.6	4.7
1998	4.6	4.6	4.7	4.3	4.4	4.5	4.5	4.5	4.6	4.5	4.4	4.4
1999	4.3	4.4	4.2	4.3	4.2	4.3	4.3	4.2	4.2	4.1	4.1	4
2000	4	4.1	4	3.8	4	4	4	4.1	3.9	3.9	3.9	3.9
